"PGA","PGV","Sa(T1)","Es","nu","rho","xi","c","phi","Ec","fy","tseg","mu","moment_ratio","diameter_strain_rate"
"0.13899749","0.015584054","0.158876532","66169425.70493054","0.45060225360538647","2120.8389471791243","0.05250184486647722","29944.764504314986","12.198465065890058","34672840465.17705","0.005518173249434085","0.3520795171510068","0.600577756732675","0.3154037356821434","0.5957611215506616"
"0.35570117","0.03619059","0.381081153","60034730.45077365","0.4151926161544779","1987.0144447778175","0.045482727724199805","34560.092127461314","11.120941173008362","33214266311.94221","0.00640480700499531","0.3470625024717582","0.6003254662275596","1.0989404590784766","1.206854534329843"
"0.41868954","0.047930017","1.030682817","53790642.74015153","0.4222307224470317","2007.7133037256958","0.06794249971995489","27195.992129570866","12.025857816973822","32959502237.224205","0.0060171779591773515","0.3442661235475621","0.6022418294291568","1.5972157538647462","1.9981004136641125"
"1.1438638","0.131911992","0.984821259","62524128.858358726","0.41363572901971074","1887.8465309359572","0.03997013946681993","31252.00320937686","13.62763909998611","29453180001.65105","0.005621047496816037","0.3537865373514137","0.6051959855464422","1.930845996429287","5.47528280757329"
"0.65117815","0.142586415","1.454621183","59649186.24438699","0.4241456716033311","2077.7377117553533","0.0656070169346422","28649.22054766151","12.417083650565523","36709247800.01858","0.00626327255091736","0.3465072608943325","0.6008017226178133","2.7104517046391603","7.917854177737029"
"0.51840465","0.060163945","0.847046949","66237715.9678647","0.44429891783969455","2041.9056742213734","0.03946997725251408","25581.068313345575","13.880537247051768","33240359513.586166","0.00558834355134652","0.3536819242693591","0.5986788739755392","2.1228193427094983","2.5141253971977613"
"0.17787247","0.014358432","0.19321667","53275140.66926104","0.43338082319359744","1853.4840297571334","0.06505024571918738","24931.055600031865","12.986805754866552","41246607248.700165","0.005486642159599598","0.3513736354659163","0.6047188113954082","0.4271376390641896","0.5224635814195769"
"0.26180433","0.037654252","0.300552159","54856821.31894155","0.4237541600962355","1855.0564617228836","0.04437781156032881","35273.30026326145","10.040173758951394","33790497486.72584","0.005832025489527559","0.3558366770524003","0.6014805572687995","0.8758743166805177","1.0215819953645953"
"1.1875606","0.104382114","1.59979975","61169867.95669759","0.41851324801351897","2010.514166707554","0.0587962584975852","32290.1295444815","12.32532623999595","38506104984.42135","0.005857909138313747","0.34447376329020907","0.6034729080459831","2.815153755605297","8.750070693023806"
"0.69831118","0.059291102","1.086062402","63372971.97843515","0.42982853767459006","1998.713667782834","0.0414553921378977","28641.5560840279","14.08088123558463","31464794096.64124","0.005611927838709752","0.34589701807003537","0.6052344635442598","2.2890020556816686","2.591229846227702"
"0.79120453","0.078554662","0.728565977","58948219.379793935","0.42482425217915215","1814.295911205909","0.05206644304599381","26906.351283560107","13.216235459581437","40891272361.25171","0.006556472622980967","0.3470064773126224","0.6023396473822609","2.1534368321346573","4.111624577564877"
"0.75372267","0.067627761","0.830474991","60742866.0682218","0.4384813465581864","1976.3205534176043","0.06871007289540675","24697.654085685088","13.077524395109437","36293964299.8103","0.006486793636583764","0.34678358009536076","0.597781883685668","1.8444087651323708","2.1660122301730995"
"0.72488454","0.070586509","1.211138895","62787942.84189686","0.43750983866894155","2136.1323868662844","0.054232039268470415","26997.892972500355","12.433377065238167","30544740926.591053","0.006006226911408348","0.3461176885018663","0.5957607059606698","2.445793189331892","5.779167983219664"
"0.31731654","0.06308228","0.545661823","64661561.38842225","0.44435104052218194","2030.1158998146655","0.05284430333308177","32196.0608401904","11.289810017488405","30134036063.308327","0.0058651638275611035","0.3510995090300801","0.5989400387132094","1.3830633955039526","2.3127896436224145"
"0.94274157","0.151202288","1.645810198","55274724.54245976","0.4467655236101499","2011.4277024766093","0.04184422063195105","31359.02785848677","10.428178611992413","31074894963.52606","0.006192398714159717","0.3564085522653661","0.5990625693837784","2.8158495612970564","9.448535783814211"
"0.48951101","0.053973209","0.450370119","61610831.84995117","0.4410326313030627","1904.716439577835","0.06052907684393997","29084.663166298036","12.570432085904166","33393854481.99544","0.005484144049788485","0.34427000168039273","0.6039508733671335","1.064399420243435","1.8297809954819728"
"0.57003209","0.060403513","0.63464929","55454901.31724482","0.44332490941751357","1970.8608451117198","0.04509959279427983","26929.082369353004","12.279402884065405","40483744854.85624","0.005825973979146543","0.3508646508211772","0.6023315682833366","1.9075032440357984","1.8532679439398965"
